pdb_id,chain,chain_type
9mte,A,heavy
9kkj,H,heavy
9kmc,E,heavy
9jo7,J,heavy
9h77,B,heavy
9c7s,H,heavy
9jpv,C,heavy
9nn9,B,heavy
9pdy,D,heavy
9q9s,d,heavy
9kve,D,heavy
8ht3,A,heavy
9my8,A,heavy
9jt1,H,heavy
9cmc,F,heavy
8zeu,I,heavy
9nk9,A,heavy
8k33,B,heavy
9bdo,A,heavy
8ulr,H,heavy
8tjr,H,heavy
9b0a,B,heavy
8rpe,B,heavy
8w5e,H,heavy
8w5g,H,heavy
8vfu,B,heavy
8w5p,H,heavy
8w5w,H,heavy
8xlk,G,heavy
8rle,C,heavy
8eq6,H,heavy
8shv,H,heavy
8rby,B,heavy
8v93,A,heavy
9dzq,D,heavy
8zre,H,heavy
9bif,C,heavy
8us0,N,heavy
8us8,A,heavy
8k18,C,heavy
8qj2,D,heavy
8vyn,F,heavy
8g73,E,heavy
8ysf,D,heavy
8ysh,A,heavy
7uvf,X,heavy
8qw4,B,heavy
8g70,E,heavy
8v9x,A,heavy
8tmy,H,heavy
8tmz,H,heavy
8tfe,A,heavy
9fzc,D,heavy
9fzd,B,heavy
9en2,C,heavy
7uij,A,heavy
8gjn,A,heavy
8gjr,A,heavy
8k4q,D,heavy
8urf,H,heavy
8ek1,A,heavy
8x0y,E,heavy
8jva,D,heavy
8v5k,G,heavy
8v62,D,heavy
8pih,C,heavy
8sjk,B,heavy
8tqi,H,heavy
8b8i,H,heavy
8sgn,H,heavy
8oni,H,heavy
8pnv,D,heavy
8qzr,A,heavy
8tq8,H,heavy
8g0i,D,heavy
7v27,B,heavy
8gdo,H,heavy
8g77,G,heavy
8pwh,D,heavy
8bw0,H,heavy
8toa,H,heavy
8t5c,D,heavy
8c3l,B,heavy
8jjv,A,heavy
8q95,C,heavy
8rz2,B,heavy
8h7m,A,heavy
8h8q,H,heavy
8b50,H,heavy
8fq7,A,heavy
8cml,A,heavy
8ee2,G,heavy
